node,conceptualized_node,node_type
提供填充的氮气罐以及皮囊式蓄能器的填充器。,"充气, 储能, 气体供应, 压力调节, 装置",event
步骤7：调整蓄能器三通阀MBA51AA255至正确位置。,"调节, 控制, 操作, 调整, 阀门",event
若用户未经SGC同意擅自对模块进行改造，质保失效。,"违规改造, 质保失效, 权限控制, 合规性, 技术约束",event
模块必须安装在固定的水平面上。,"安装, 水平, 固定, 稳定, 定位",event
进行调试的前提条件是顺利完成所有操作（8.2.1 到 8.2.7）。,"前提条件, 操作顺序, 调试准备, 任务完成, 依赖关系",event
如果因为污染而导致故障、停运和设备损坏，则不在 SGC 保修范围内。,"污染损坏, 保修排除, 设备故障, 环境影响, 运行停顿",event
在填充皮囊式蓄能器时，应参考相关表格。,"填充, 蓄能, 参考, 操作, 安全",event
在球阀闭合的情况下操作泵，即使时间很短，也会损坏泵。,"操作失误, 设备损坏, 安全隐患, 流体控制, 机械故障",event
调试时必须遵守蓄能器系统安全须知。,"安全操作, 调试规范, 风险防范, 系统维护, 规程遵守",event
燃机RDS模块安装调试手册的标题为燃机RDS模块安装调试手册。,"安装调试, 操作手册, 技术文档, 燃机模块, rds系统",event
制造商已经冲洗了 RDS，不需要再对 RDS 进行冲洗处理。,"冲洗完成, 处理终止, 工艺结束, 无需操作, 流程结束",event
燃机RDS模块安装调试手册的编写部门为产品部。,"文档编写, 产品管理, 技术手册, 模块调试, 项目协作",event
直至压力表读数为 210bar 为止。,"加压, 压力控制, 测量, 持续操作, 压力监测",event
排气直到液压流体没有气泡溢出为止。,"排气, 液压, 气泡排除, 流体净化, 系统维护",event
在进行后面的调试操作之前，必须确保电机的旋转方向符合箭头所指方向。,"方向校准, 电机调试, 旋转确认, 操作准备, 安全检查",event
填充蓄能器，给系统加压。,"充能, 加压, 储能, 系统运行, 压力建立",event
管道的冲洗操作应以达到所需的纯度为标准。,"冲洗标准, 纯度控制, 操作规范, 清洁验证, 流程管理",event
在进行维护或维修工作前，必须释放流体侧的压力。,"安全操作, 压力释放, 维护准备, 流体管理, 预防措施",event
启动 MBA51AP001 油泵，此时系统三个压力表读数应为 0bar。,"启动, 压力检测, 油泵运行, 系统检查, 设备调试",event
若用户未严格遵守SGC手册要求，因操作不当造成模块损坏，质保失效。,"违规操作, 质保失效, 损坏, 违规, 失效",event
燃机RDS模块安装调试手册的页码范围为1至26。,"安装调试, 手册页码, 技术文档, 模块操作, 页码范围",event
以确保操作人员安全，防止电击或高压喷射伤害。,"安全防护, 操作保障, 风险防范, 人身保护, 防护措施",event
在 RDS 上进行任何操作之前，都需要通过检查来确认系统的压力已经释放。,"压力释放, 检查确认, 操作准备, 系统安全, 风险控制",event
如果电机的旋转方向不正确，会损坏泵。,"反向旋转, 设备损坏, 机械故障, 电机错误, 泵失效",event
本安装调试说明书并未详细介绍氮气填充器的情况。,"说明书缺失, 技术遗漏, 操作不全, 信息不足, 安装缺陷",event
系统必须在完全正常功能下操作，发现异常必须立即关闭系统。,"系统安全, 异常检测, 立即关闭, 运行监控, 故障响应",event
否则可能导致系统故障或设备损坏。,"故障风险, 设备损坏, 系统失效, 安全隐患, 操作失误",event
在短时间内依次重新开关两个电机（缓动），以检查旋转方向是否符合箭头方向。,"测试, 旋转, 缓动, 检查, 电机",event
必须使用降压器，如果氮气罐中的氮气压力高于皮囊式蓄能器中允许的压力。,"压力控制, 安全操作, 压力调节, 保护机制, 压力平衡",event
如果因为污染而导致故障、停运和设备损坏，则不在SGC保修范围内。,"故障, 保修, 污染, 损坏, 停运",event
在完成安装后，必须准备调试。,"安装后调试, 准备工作, 系统测试, 调试阶段, 启动前检查",event
如果氮气罐中的氮气压力高于皮囊式蓄能器中允许的压力，则氮气填充器必须配备一个降压器。,"压力控制, 安全装置, 压力调节, 气体传输, 压力平衡",event
在使用氮气填充蓄能器前，必须确认蓄能器已泄压。,"安全操作, 泄压确认, 氮气填充, 压力控制, 设备维护",event
只有在没有液压流体溢出，并且没有残余压力的情况下，才能完全打开管道或拆卸阀门。,"安全操作, 压力释放, 流体控制, 拆卸条件, 防护措施",event
在运输到安装地点之前，应检查可用空间。,"空间检查, 安装准备, 测量确认, 位置评估, 前期核查",event
检查了电机旋转方向。,"检测, 旋转, 方向, 电机, 测试",event
在完成冲洗系统后，才能进行下一步调试。,"流程衔接, 系统准备, 调试前提, 顺序执行, 前置条件",event
优先设定 MBA54AA191、MBA54AA192 的 210bar。,"参数设定, 压力配置, 系统调整",event
燃机RDS模块安装调试手册的保密等级为2。,"机密管理, 安装手册, 调试规范, 保密等级, 技术文档",event
顺时,"时间流逝, 时序更替, 自然节律, 周而复始, 顺应天时",event
在连接电气线路前，必须确认电源已断开。,"安全操作, 断电检查, 电气安全, 预防事故, 操作规范",event
调试前需完成检查清单并确认所有连接正常。,"检查, 调试, 连接确认, 准备工作, 流程控制",event
在完成所有检查后，才能启动系统进行调试。,"验证, 启动, 调试, 安全检查, 系统准备",event
使用测量设备上的截止固件对测量仪器管道进行排气操作。,"排气, 操作, 测量, 固件, 管道",event
压力传感器MBA51CP101、MBA51CP102和MBA51CP103监控蓄能器压力。,"压力监测, 蓄能控制, 传感器监控, 压力感应, 系统检测",event
启动电机 MBA51AP01-M01-E01。,"启动, 电机, 运行, 控制, 启动程序",event
以避免意外启动或操作不当引发安全事故。,"安全预防, 操作防护, 风险控制, 机械安全, 防误启动",event
爆发溢出的液压流体会产生危险。,"泄漏, 危险, 爆发, 流体, 安全隐患",event
依次启动泵 MBA51AP001-KP01 和 MBA51AP002-KP01，检测压力开关 MBA51CP001 和 MBA51CP002。,"启动, 检测, 压力监测, 运行控制, 设备操作",event
燃机RDS模块安装调试手册的批准日期为2023年5月。,"批准, 安装, 调试, 手册, 日期",event
否则可能导致机械伤害、电击或烫伤等安全事故。,"安全隐患, 事故风险, 人身伤害, 安全防范, 作业风险",event
蓄能器系统放电可能导致飞溅部件和液压流体喷溅，造成死亡或致残性严重事故。,"放电, 飞溅, 液压, 事故, 伤害",event
只能使用纯度不低于 99.995%的氮气。,"高纯度, 氮气, 工业标准, 精密控制, 气体纯化",event
在模块运行期间禁止进行维修操作。,"禁修, 运行中, 安全锁定, 操作限制, 维护隔离",event
在割开绷紧带前，应戴好防护手套。,"防护, 操作, 安全, 预防, 手套",event
使用测量设备上的截止固件MBA53AA301到MBA53AA306对测量仪器管道进行排气操作。,"排气, 操作, 测量, 设备, 管道",event
在 SGC 选择的合适点对主推力端管道进行排气。,"排气, 主推力, 管道, 选择, 排放",event
与设备损坏相关的说明不带三角形警告标志。,"安全缺失, 风险隐患, 信息不足, 忽视警告, 设备故障",event
在确认模块未通电且蓄能器已泄压后，方可进行维护工作。,"安全操作, 维护准备, 风险控制, 电气隔离, 压力释放",event
无三角形警告标志的信息表示可能导致设备损坏。,"警告, 风险, 安全提示, 损坏, 注意",event
燃机RDS模块安装调试手册的文档编号为DG50011918。,"文档编号, 安装调试, 手册编制, 技术文档, rds模块",event
检查所有管道连接是否有泄漏。,"检测, 检查, 维护, 安全, 排查",event
打开管路或拆卸阀门时如有油体流出，表示存在剩余压力。,"压力释放, 油体泄漏, 安全警示, 压力检测, 操作风险",event
关闭系统后必须采取安全措施并立即解决故障。,"关机, 故障处理, 安全措施, 系统维护, 应急响应",event
在 SGC 选择的合适点对辅助推力端管道进行排气。,"排气, 推力, 管道, 选择, 安装",event
燃机RDS模块安装调试手册的语言为中文。,"安装手册, 技术文档, 中文说明, 调试指南, 操作手册",event
必须确保电机的旋转方向符合箭头所指方向。,"方向控制, 旋转校准, 安装规范, 机械对齐, 运行安全",event
燃机RDS模块的质保期为业主验收模块开始24个月或模块最终测试后36个月。,"质保期限, 验收起算, 测试起算, 保修周期, 服务保障",event
需要冲洗 RDS 上的供给和返回管道以及到轮机的操作管道。,"冲洗, 管道清理, 操作维护, 流体系统, 设备保养",event
使用电机上的风机风轮来检查泵的旋转方向。,"检测, 旋转, 风轮, 电机, 泵",event
管道的冲洗及清洁度非SGC负责。,"责任划分, 清洁维护, 管道管理, 服务范围, 责任豁免",event
使用警告符号提醒注意与人员安全相关的问题。,"警示, 安全, 预防, 提醒, 风险",event
以保证起吊过程稳定，防止倾覆或坠落。,"稳定, 防倾, 安全, 起吊, 防坠",event
绝不能安装在可移动平面上，也不能安装在竖直平面或者倾斜平面上。,"安装限制, 平面要求, 固定安装, 安装方向, 安装位置",event
以确保系统处于安全状态，避免运行故障。,"安全防护, 系统稳定, 故障预防, 运行保障, 风险控制",event
