name:ID,type,concepts,synsets,:LABEL
上海电气燃气轮机有限公司,entity,[],[],Node
燃机RDS模块安装调试手册,entity,[],[],Node
DG50011918,entity,[],[],Node
RDS模块,entity,[],[],Node
瑞荟流体技术有限公司,entity,[],[],Node
MBA51AP001-KP01 + MBA51AP001-M01-E01,entity,[],[],Node
MBA51AP002-KP01 + MBA51AP002-M02-E01,entity,[],[],Node
MBA51BB001,entity,[],[],Node
MBA51BB002,entity,[],[],Node
MBA53AA191,entity,[],[],Node
MBA51AA193,entity,[],[],Node
MBA51AA194,entity,[],[],Node
MBA53AA002-Y01-S11,entity,[],[],Node
MBA53AA003-Y01-S11,entity,[],[],Node
MBA53AA006-Y01-S11,entity,[],[],Node
MBA53AA001-Y01-S21,entity,[],[],Node
MBA53AA005-Y01-S21,entity,[],[],Node
MBA54AA281,entity,[],[],Node
MBA54AA282,entity,[],[],Node
MBA53AA281,entity,[],[],Node
MBA53AA282,entity,[],[],Node
ISO VG46,entity,[],[],Node
填充蓄能器,entity,[],[],Node
固定水平面,entity,[],[],Node
底座安装孔,entity,[],[],Node
至少1米,entity,[],[],Node
环境温度0°C至40°C,entity,[],[],Node
6个月,entity,[],[],Node
未通电,entity,[],[],Node
已断开与管路连接,entity,[],[],Node
所有部件处于安全状态,entity,[],[],Node
60°,entity,[],[],Node
安全检查员指挥,entity,[],[],Node
所有液压连接,entity,[],[],Node
所有电气连接,entity,[],[],Node
接口HE的给压,entity,[],[],Node
物位开关连线,entity,[],[],Node
温度监控装置连线,entity,[],[],Node
系统冲洗,entity,[],[],Node
氮气填充蓄能器,entity,[],[],Node
运输文档签署之日起算,entity,[],[],Node
24个月或36个月,entity,[],[],Node
未遵守SGC手册要求,entity,[],[],Node
擅自改造模块,entity,[],[],Node
操作不当造成损坏,entity,[],[],Node
存在爆炸风险的环境,entity,[],[],Node
存在有毒性气体的环境,entity,[],[],Node
粉尘浓度较高的环境,entity,[],[],Node
存在油气挥发物质的环境,entity,[],[],Node
高火灾风险的环境,entity,[],[],Node
安装条件不符合3.3.2要求,entity,[],[],Node
工作介质含半液态或固态材质,entity,[],[],Node
