name:ID,type,concepts,synsets,numeric_id,:LABEL
上海电气燃气轮机有限公司,entity,[],[],0,Node
燃机RDS模块安装调试手册,entity,[],[],1,Node
DG50011918,entity,[],[],2,Node
RDS模块,entity,[],[],3,Node
瑞荟流体技术有限公司,entity,[],[],4,Node
MBA51AP001-KP01 + MBA51AP001-M01-E01,entity,[],[],5,Node
MBA51AP002-KP01 + MBA51AP002-M02-E01,entity,[],[],6,Node
MBA51BB001,entity,[],[],7,Node
MBA51BB002,entity,[],[],8,Node
MBA53AA191,entity,[],[],9,Node
MBA51AA193,entity,[],[],10,Node
MBA51AA194,entity,[],[],11,Node
MBA53AA002-Y01-S11,entity,[],[],12,Node
MBA53AA003-Y01-S11,entity,[],[],13,Node
MBA53AA006-Y01-S11,entity,[],[],14,Node
MBA53AA001-Y01-S21,entity,[],[],15,Node
MBA53AA005-Y01-S21,entity,[],[],16,Node
MBA54AA281,entity,[],[],17,Node
MBA54AA282,entity,[],[],18,Node
MBA53AA281,entity,[],[],19,Node
MBA53AA282,entity,[],[],20,Node
ISO VG46,entity,[],[],21,Node
填充蓄能器,entity,[],[],22,Node
固定水平面,entity,[],[],23,Node
底座安装孔,entity,[],[],24,Node
至少1米,entity,[],[],25,Node
环境温度0°C至40°C,entity,[],[],26,Node
6个月,entity,[],[],27,Node
未通电,entity,[],[],28,Node
已断开与管路连接,entity,[],[],29,Node
所有部件处于安全状态,entity,[],[],30,Node
60°,entity,[],[],31,Node
安全检查员指挥,entity,[],[],32,Node
所有液压连接,entity,[],[],33,Node
所有电气连接,entity,[],[],34,Node
接口HE的给压,entity,[],[],35,Node
物位开关连线,entity,[],[],36,Node
温度监控装置连线,entity,[],[],37,Node
系统冲洗,entity,[],[],38,Node
氮气填充蓄能器,entity,[],[],39,Node
运输文档签署之日起算,entity,[],[],40,Node
24个月或36个月,entity,[],[],41,Node
未遵守SGC手册要求,entity,[],[],42,Node
擅自改造模块,entity,[],[],43,Node
操作不当造成损坏,entity,[],[],44,Node
存在爆炸风险的环境,entity,[],[],45,Node
存在有毒性气体的环境,entity,[],[],46,Node
粉尘浓度较高的环境,entity,[],[],47,Node
存在油气挥发物质的环境,entity,[],[],48,Node
高火灾风险的环境,entity,[],[],49,Node
安装条件不符合3.3.2要求,entity,[],[],50,Node
工作介质含半液态或固态材质,entity,[],[],51,Node
未正确连接管道至用户机组,entity,[],[],52,Node
具备专业资质人员完成,entity,[],[],53,Node
模块未通电,entity,[],[],54,Node
蓄能器已泄压,entity,[],[],55,Node
运行介质温度低于30℃,entity,[],[],56,Node
在运输到安装地点之前，应检查可用空间。,event,[],[],57,Node
只有在确保运输路线和安装地点为 RDS 提供了足够空间的情况下，才能将其运输到安装地点。,event,[],[],58,Node
模块必须安装在固定的水平面上。,event,[],[],59,Node
绝不能安装在可移动平面上，也不能安装在竖直平面或者倾斜平面上。,event,[],[],60,Node
在起吊操作前，须确认操作区域内无人员。,event,[],[],61,Node
起吊操作必须听从负责起吊安全的安全检查员的统一指挥。,event,[],[],62,Node
在割开绷紧带前，应戴好防护手套。,event,[],[],63,Node
防止绷紧带末端松开晃动，避免伤及人体。,event,[],[],64,Node
在设置液压连接线路前，必须确保管道已冲洗完毕。,event,[],[],65,Node
