2025-12-25 15:31:40,696 - INFO - Usage log: Node Output Value, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 476, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3972499370574951}
2025-12-25 15:31:40,698 - INFO - Usage log: Node 设备 DT100, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 463, 'total_tokens': 479, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3882894515991211}
2025-12-25 15:31:40,698 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.4236335754394531}
2025-12-25 15:31:40,699 - INFO - Usage log: Node 12 区域, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 460, 'total_tokens': 482, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.4505150318145752}
2025-12-25 15:31:40,700 - INFO - Usage log: Node _XK94, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.4121837615966797}
2025-12-25 15:31:40,700 - INFO - Usage log: Node 10 区域, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 477, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.47490787506103516}
2025-12-25 15:31:40,701 - INFO - Usage log: Node LAC 主系统, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 461, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.4241318702697754}
2025-12-25 15:31:40,702 - INFO - Usage log: Node HEFEI_1 电厂, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 477, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.39028048515319824}
2025-12-25 15:31:40,702 - INFO - Usage log: Node ZHOUKOU_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 456, 'total_tokens': 473, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29071927070617676}
2025-12-25 15:31:40,703 - INFO - Usage log: Node 68. GANLU_1 电厂, completion_usage: {'completion_tokens': 13, 'prompt_tokens': 458, 'total_tokens': 471, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.22749757766723633}
2025-12-25 15:31:40,704 - INFO - Usage log: Node 621, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 476, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2966928482055664}
2025-12-25 15:31:40,704 - INFO - Usage log: Node AH001, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 474, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29071927070617676}
2025-12-25 15:31:40,705 - INFO - Usage log: Node DT, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 451, 'total_tokens': 466, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.25388145446777344}
2025-12-25 15:31:40,706 - INFO - Usage log: Node GANLU_1 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 472, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.25388097763061523}
2025-12-25 15:31:40,706 - INFO - Usage log: Node 02 号机组, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 460, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2713050842285156}
2025-12-25 15:31:40,707 - INFO - Usage log: Node UC, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 471, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2648329734802246}
2025-12-25 15:31:41,415 - INFO - Usage log: Node MKY 主系统, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 469, 'total_tokens': 484, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2673215866088867}
2025-12-25 15:31:41,416 - INFO - Usage log: Node 011, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 454, 'total_tokens': 469, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2832522392272949}
2025-12-25 15:31:41,416 - INFO - Usage log: Node mm, completion_usage: {'completion_tokens': 12, 'prompt_tokens': 474, 'total_tokens': 486, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.242431640625}
2025-12-25 15:31:41,417 - INFO - Usage log: Node LUBE OIL HEATER TRIP, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 478, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3414952754974365}
2025-12-25 15:31:41,418 - INFO - Usage log: Node 10MBV10AH001ZV60, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 488, 'total_tokens': 509, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.384307861328125}
2025-12-25 15:31:41,418 - INFO - Usage log: Node 02PAC01UC020XQ01, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 485, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3275566101074219}
2025-12-25 15:31:41,419 - INFO - Usage log: Node MBY 主系统, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 460, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.291715145111084}
2025-12-25 15:31:41,420 - INFO - Usage log: Node 13 区域, completion_usage: {'completion_tokens': 25, 'prompt_tokens': 484, 'total_tokens': 509, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.44304823875427246}
2025-12-25 15:31:41,420 - INFO - Usage log: Node PAC 主系统, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 460, 'total_tokens': 479, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3325355052947998}
2025-12-25 15:31:41,421 - INFO - Usage log: Node null, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 472, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3260641098022461}
2025-12-25 15:31:41,422 - INFO - Usage log: Node 102, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 475, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31461381912231445}
2025-12-25 15:31:41,422 - INFO - Usage log: Node CT, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 451, 'total_tokens': 472, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3245701789855957}
2025-12-25 15:31:41,423 - INFO - Usage log: Node 设备 DU061, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 463, 'total_tokens': 481, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2703092098236084}
2025-12-25 15:31:41,423 - INFO - Usage log: Node 设备 BG113, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 459, 'total_tokens': 474, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2513923645019531}
2025-12-25 15:31:41,424 - INFO - Usage log: Node 01LAC20BG112, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 477, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.275784969329834}
2025-12-25 15:31:41,425 - INFO - Usage log: Node HEFEI_2 电厂, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 479, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2479078769683838}
2025-12-25 15:31:42,075 - INFO - Usage log: Node ZV60, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28524327278137207}
2025-12-25 15:31:42,076 - INFO - Usage log: Node 90 区域, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 460, 'total_tokens': 481, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3380105495452881}
2025-12-25 15:31:42,077 - INFO - Usage log: Node XQ11XQ12, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 483, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26035308837890625}
2025-12-25 15:31:42,077 - INFO - Usage log: Node 设备 AA102, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 459, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3061511516571045}
2025-12-25 15:31:42,078 - INFO - Usage log: Node 20MBA26CT108AXQ01, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 487, 'total_tokens': 504, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30664849281311035}
2025-12-25 15:31:42,078 - INFO - Usage log: Node 循环水泵2变频器柜电机电流, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 476, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2912166118621826}
2025-12-25 15:31:42,079 - INFO - Usage log: Node 061, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 454, 'total_tokens': 469, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26184654235839844}
2025-12-25 15:31:42,079 - INFO - Usage log: Node 中压汽包连排电动调节阀, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 483, 'total_tokens': 506, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.39426279067993164}
2025-12-25 15:31:42,080 - INFO - Usage log: Node 测点SGC.JIANGYIN_2.20MAD12CY011XQ01, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29221272468566895}
2025-12-25 15:31:42,080 - INFO - Usage log: Node MAD 主系统, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 484, 'total_tokens': 507, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3589189052581787}
2025-12-25 15:31:42,081 - INFO - Usage log: Node 100, completion_usage: {'completion_tokens': 12, 'prompt_tokens': 454, 'total_tokens': 466, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.22998666763305664}
2025-12-25 15:31:42,081 - INFO - Usage log: Node JIANGYIN_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 482, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27727842330932617}
2025-12-25 15:31:42,082 - INFO - Usage log: Node CT108, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 473, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30814266204833984}
2025-12-25 15:31:42,082 - INFO - Usage log: Node YB02, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30415987968444824}
2025-12-25 15:31:42,083 - INFO - Usage log: Node SGC.YIXING_1.10MAV21AP022YB02, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 470, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2956969738006592}
2025-12-25 15:31:42,083 - INFO - Usage log: Node 00 区域, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 460, 'total_tokens': 479, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2384495735168457}
2025-12-25 15:31:42,728 - INFO - Usage log: Node 设备 AA101, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 463, 'total_tokens': 483, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3176002502441406}
2025-12-25 15:31:42,729 - INFO - Usage log: Node 55 区域, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 461, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3220810890197754}
2025-12-25 15:31:42,729 - INFO - Usage log: Node 113, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 454, 'total_tokens': 469, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2663259506225586}
2025-12-25 15:31:42,730 - INFO - Usage log: Node EZ, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 451, 'total_tokens': 467, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29221272468566895}
