:START_ID,:END_ID,relation,concepts,synsets,:TYPE
CHANGXING_1 电厂,10 号机组,包含,[],[],Relation
10 号机组,HAD 主系统,配置,[],[],Relation
HAD 主系统,55 区域,划分有,[],[],Relation
55 区域,设备 AA101,部署,[],[],Relation
设备 AA101,AA,设备类型是,[],[],Relation
设备 AA101,101,设备序列号是,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,10HAD55AA101XQ11XQ12,的核心KKS码为,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,XQ11XQ12,无效代码标识为,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,中压汽包连排电动调节阀,功能描述为,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,%,测量值单位为,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,设备 AA101,用于监测,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,AA,用于监测的设备类型为,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,101,用于监测的设备序列号为,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,CHANGXING_1 电厂,位于,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,10 号机组,位于,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,55 区域,位于,[],[],Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,HAD 主系统,位于,[],[],Relation
10 号机组,MAD 主系统,配置,[],[],Relation
MAD 主系统,13 区域,划分有,[],[],Relation
13 区域,设备 CT014,部署,[],[],Relation
设备 CT014,CT,设备类型是,[],[],Relation
设备 CT014,014,设备序列号是,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,10MAD13CT014A232203OUT,的核心KKS码为,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,A232203OUT,无效代码标识为,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,Output Value,功能描述为,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,null,测量值单位为,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,设备 CT014,用于监测,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CT,用于监测的设备类型为,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,014,用于监测的设备序列号为,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CHANGXING_1 电厂,位于,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,10 号机组,位于,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,13 区域,位于,[],[],Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,MAD 主系统,位于,[],[],Relation
HEFEI_1 电厂,01 号机组,包含,[],[],Relation
01 号机组,LAC 主系统,配置,[],[],Relation
LAC 主系统,20 区域,划分有,[],[],Relation
20 区域,设备 BG112,部署,[],[],Relation
设备 BG112,BG,设备类型是,[],[],Relation
设备 BG112,112,设备序列号是,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,01LAC20BG112,的核心KKS码为,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,null,无效代码标识为,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,中压给水泵A驱动端径向轴承座Y向振动,功能描述为,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,null,测量值单位为,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,设备 BG112,用于监测,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,BG,用于监测的设备类型为,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,112,用于监测的设备序列号为,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,HEFEI_1 电厂,位于,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,01 号机组,位于,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,20 区域,位于,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG112,LAC 主系统,位于,[],[],Relation
20 区域,设备 BG113,部署,[],[],Relation
设备 BG113,BG,设备类型是,[],[],Relation
设备 BG113,113,设备序列号是,[],[],Relation
测点SGC.HEFEI_1.01LAC20BG113,01LAC20BG113,的核心KKS码为,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,EC001,用于监测设备,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,EC,用于监测的设备类型为,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,001,用于监测的设备序列号为,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,DANYANG_2 电厂,位于,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,20 号机组,位于,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,10 区域,位于,[],[],Relation
SGC.DANYANG_2.20MAY10EC001_ESVCLSD,MAY 主系统,位于,[],[],Relation
HEFEI_2 电厂,02 号机组,包含,[],[],Relation
02 号机组,PAC 主系统,配置,[],[],Relation
PAC 主系统,01 区域,划分,[],[],Relation
01 区域,设备 UC020,部署,[],[],Relation
设备 UC020,UC,设备类型是,[],[],Relation
设备 UC020,020,设备序列号是,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,02PAC01UC020XQ01,核心 KKS 码为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,XQ01,无效代码标识为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,循环水泵2变频器柜电机电流,功能描述为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,null,测量值单位为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,UC020,用于监测设备,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,UC,用于监测的设备类型为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,020,用于监测的设备序列号为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,HEFEI_2 电厂,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,02 号机组,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,01 区域,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ01,PAC 主系统,位于,[],[],Relation
CHUZHOU_1 电厂,10 号机组,包含,[],[],Relation
10 号机组,MBY 主系统,配置,[],[],Relation
MBY 主系统,10 区域,划分,[],[],Relation
10 区域,设备 DU061,部署,[],[],Relation
设备 DU061,DU,设备类型是,[],[],Relation
设备 DU061,061,设备序列号是,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,10MBY10DU061XQ01,核心 KKS 码为,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,XQ01,无效代码标识为,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,null,功能描述为,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,null,测量值单位为,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,DU061,用于监测设备,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,DU,用于监测的设备类型为,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,061,用于监测的设备序列号为,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,CHUZHOU_1 电厂,位于,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,10 号机组,位于,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,10 区域,位于,[],[],Relation
SGC.CHUZHOU_1.10MBY10DU061XQ01,MBY 主系统,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,02PAC01UC020XQ02,核心 KKS 码为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,XQ02,无效代码标识为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,循环水泵2变频器柜电机电压,功能描述为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,null,测量值单位为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,UC020,用于监测设备,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,UC,用于监测的设备类型为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,020,用于监测的设备序列号为,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,HEFEI_2 电厂,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,02 号机组,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,01 区域,位于,[],[],Relation
SGC.HEFEI_2.02PAC01UC020XQ02,PAC 主系统,位于,[],[],Relation
ZHOUKOU_2 电厂,20 号机组,包含,[],[],Relation
20 号机组,LAE 主系统,配置,[],[],Relation
LAE 主系统,90 区域,划分,[],[],Relation
90 区域,设备 CF101,部署,[],[],Relation
设备 CF101,CF,设备类型是,[],[],Relation
设备 CF101,101,设备序列号是,[],[],Relation
SGC.ZHOUKOU_2.20LAE90CF101_COMP,20LAE90CF101_COMP,核心 KKS 码为,[],[],Relation
SGC.ZHOUKOU_2.20LAE90CF101_COMP,_COMP,无效代码标识为,[],[],Relation
DANYANG_2.21MBV30CP901XG02,MBV 主系统,位于,[],[],Relation
CHUZHOU_1 电厂,10 号机组,包含,[],[],Relation
10 号机组,MBH 主系统,配置,[],[],Relation
MBH 主系统,22 区域,划分,[],[],Relation
22 区域,设备 CP102,部署,[],[],Relation
设备 CP102,CP,设备类型是,[],[],Relation
设备 CP102,102,设备序列号是,[],[],Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,10MBH22CP102XQ01,的核心KKS码为,[],[],Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,XQ01,无效代码标识为,[],[],Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,null,功能描述为,[],[],Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,null,测量值单位为,[],[],Relation
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,设备 CP102,用于监测,[],[],Relation
SGC.CHUZHOU_1.10MBH22CP102XQ01,CP,用于监测的设备类型为,[],[],Relation
SGC.CHUZHOU_1.10MBH22CP102XQ01,102,用于监测的设备序列号为,[],[],Relation
SGC.CHUZHOU_1.10MBH22CP102XQ01,CHUZHOU_1 电厂,位于,[],[],Relation
SGC.CHUZHOU_1.10MBH22CP102XQ01,10 号机组,位于,[],[],Relation
SGC.CHUZHOU_1.10MBH22CP102XQ01,22 区域,位于,[],[],Relation
SGC.CHUZHOU_1.10MBH22CP102XQ01,MBH 主系统,位于,[],[],Relation
YIXING_1 电厂,10 号机组,包含,[],[],Relation
10 号机组,MAV 主系统,配置,[],[],Relation
MAV 主系统,21 区域,划分,[],[],Relation
21 区域,设备 AP022,部署,[],[],Relation
设备 AP022,AP,设备类型是,[],[],Relation
设备 AP022,022,设备序列号是,[],[],Relation
测点SGC.YIXING_1.10MAV21AP022YB02,10MAV21AP022YB02,的核心KKS码为,[],[],Relation
测点SGC.YIXING_1.10MAV21AP022YB02,YB02,无效代码标识为,[],[],Relation
测点SGC.YIXING_1.10MAV21AP022YB02,null,功能描述为,[],[],Relation
测点SGC.YIXING_1.10MAV21AP022YB02,null,测量值单位为,[],[],Relation
测点SGC.YIXING_1.10MAV21AP022YB02,设备 AP022,用于监测,[],[],Relation
SGC.YIXING_1.10MAV21AP022YB02,AP,用于监测的设备类型为,[],[],Relation
SGC.YIXING_1.10MAV21AP022YB02,022,用于监测的设备序列号为,[],[],Relation
SGC.YIXING_1.10MAV21AP022YB02,YIXING_1 电厂,位于,[],[],Relation
