node,conceptualized_node,node_type
Output Value,"输出值, 数据, 信号, 指标, 测量值",entity
设备 DT100,"设备, 仪器, 机械, 装置, 产品",entity
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,"测点, 系统, 设备, 数据点, 传感器, 位置",entity
12 区域,"区域, 分区, 管理区, 部署区, 系统区",entity
_XK94,"代码, 标识, 测点, 数据, 编码, 信号",entity
10 区域,"区域, 部署, 设备, 位置, 网络, 管理",entity
LAC 主系统,"系统, 主控, 控制, 机组, 区域, 配置",entity
HEFEI_1 电厂,"电厂, 机组, 设备, 电力设施, 发电站",entity
ZHOUKOU_2 电厂,"电厂, 电站, 能源设施, 发电厂, 电力系统",entity
68. GANLU_1 电厂,"电厂, 电站, 发电厂, 能源设施",entity
621,"编号, 序列号, 设备标识, 代码, 标识符",entity
AH001,"测点, 监测点, 设备, 传感器, 数据点, 位置",entity
DT,"设备, 类型, 仪器, 机器, 系统",entity
GANLU_1 电厂,"电厂, 电站, 设施, 能源中心, 发电厂",entity
02 号机组,"机组, 系统, 设备, 电厂, 控制, 装置",entity
UC,"设备, 仪器, 模块, 系统, 单元, 组件",entity
MKY 主系统,"系统, 主机, 控制单元, 设备, 机器",entity
011,"设备, 序列号, 编号, 识别码",entity
mm,"单位, 测量值, 毫米",entity
LUBE OIL HEATER TRIP,"设备, 传感器, 检测点, 控制系统, 保护装置",entity
10MBV10AH001ZV60,"设备, 仪器, 测点, 编码, 系统, 模块",entity
02PAC01UC020XQ01,"编码, 代码, 系统标识, 项目编号, kks码",entity
MBY 主系统,"系统, 主控, 控制, 模块, 平台",entity
13 区域,"区域, 地点, 空间, 编号, 部署点, 测点",entity
PAC 主系统,"系统, 主控, 控制, 区域, 机组, 配置",entity
null,"测点, 测量值, 单位, 数据, 传感器, 参数",entity
102,"编号, 序列号, 设备号, 代码, 标识",entity
CT,"ct扫描, 医疗设备, 影像技术, 诊断工具, 成像系统",entity
设备 DU061,"设备, 序列号, 仪器, 项目, 装置",entity
设备 BG113,"设备, 类型, 型号, 仪器, 机器",entity
01LAC20BG112,"编码, 代码, 标识, 系统码, 测点码",entity
HEFEI_2 电厂,"电厂, 电站, 机组, 设施, 能源, 电力系统",entity
ZV60,"设备, 传感器, 测点, 代码, 标识, 仪器",entity
90 区域,"区域, 系统, 部署, 范围, 网络",entity
XQ11XQ12,"测点, 代码, 标识, 设备, 传感器",entity
设备 AA102,"设备, 类型, 仪器, 装置, 系统",entity
