2025-12-25 10:44:10,566 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 482, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29719090461730957}
2025-12-25 10:44:10,568 - INFO - Usage log: Node SGC.CHANGXING_1.10HAD55AA101XQ11XQ12, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 504, 'total_tokens': 525, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.38331151008605957}
2025-12-25 10:44:10,568 - INFO - Usage log: Node CF, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 474, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.39973878860473633}
2025-12-25 10:44:10,569 - INFO - Usage log: Node CHUZHOU_2电厂02号机组, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 480, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.41915369033813477}
2025-12-25 10:44:10,570 - INFO - Usage log: Node SGC.YIXING_2.20LAB72AA005YB01, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 492, 'total_tokens': 512, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.4106903076171875}
2025-12-25 10:44:10,571 - INFO - Usage log: Node CUISHANHU_2电厂20号机组, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 480, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.412184476852417}
2025-12-25 10:44:10,571 - INFO - Usage log: Node XM61, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3947610855102539}
2025-12-25 10:44:10,572 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10MAD13CT014A232203OUT, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 475, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.4136769771575928}
2025-12-25 10:44:10,573 - INFO - Usage log: Node SGC.CHANGXING_1.10LAE02CF101XQ01, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 496, 'total_tokens': 513, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2653310298919678}
2025-12-25 10:44:10,574 - INFO - Usage log: Node HAD主系统的55区域, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 479, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2902214527130127}
2025-12-25 10:44:10,575 - INFO - Usage log: Node %, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 476, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31423163414001465}
