Name,Type
NG_1电厂10号机组,Entity
CUISHANHU_2电厂20号机组,Entity
245,Entity
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,Entity
CT,Entity
A232203OUT,Entity
FENGQUAN_2电厂20号机组,Entity
测点SGC.HEFEI_1.01LAC20BG113,Entity
HAD主系统的55区域,Entity
114,Entity
SGC.CHANGXING_1.10LAE02CF101XQ01,Entity
050,Entity
测点SGC.HEFEI_1.01LAC20BG121,Entity
113,Entity
MBL主系统的13区域,Entity
LAB主系统的72区域,Entity
SGC.CUISHANHU_2.20MBL11AA050XM61,Entity
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,Entity
YB01,Entity
测点SGC.CUISHANHU_2.20MBL11AA050XM61,Entity
005,Entity
凝结水泵A电流,Entity
SGC.HEFEI_1.01LAC20BG112,Entity
%,Entity
中压汽包连排电动调节阀,Entity
SGC.CHANGXING_1.10MAD13CT014A232203OUT,Entity
MAD主系统的13区域,Entity
CF,Entity
XQ01,Entity
t/h,Entity
测点SGC.HEFEI_1.01LAC20BG112,Entity
014,Entity
测点SGC.CHANGXING_1.10LAE02CF101XQ01,Entity
101,Entity
中压给水泵A非驱动端径向轴承座Y向振动,Entity
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,Entity
SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,Entity
XB01,Entity
XQ01XQ11,Entity
CP,Entity
高压旁路喷水流量1,Entity
测点SGC.CHUZHOU_2.02MBL13CP101XQ01,Entity
测点SGC.YIXING_2.20LAB72AA005YB01,Entity
YIXING_2电厂20号机组,Entity
LAE主系统的02区域,Entity
MKY主系统的01区域,Entity
CHANGXING_1电厂10号机组,Entity
HEFEI_1电厂01号机组,Entity
中压给水泵A非驱动端径向轴承座X向振动,Entity
SGC.HEFEI_1.01LAC20BG113,Entity
测点SGC.HEFEI_1.01LAC20BG114,Entity
SGC.HEFEI_1.01LAC20BG114,Entity
BG,Entity
MBL主系统的11区域,Entity
SOV AUX. CONTACT INCONSISTENCY,Entity
GEN. GCB FAILURE PROTECTION CH.B,Entity
SGC.HEFEI_1.01LAC20BG121,Entity
null,Entity
SGC.CHUZHOU_2.02MBL13CP101XQ01,Entity
EZ,Entity
中压给水泵A驱动端径向轴承座Y向振动,Entity
SGC.YIXING_2.20LAB72AA005YB01,Entity
XQ11XQ12,Entity
SGC.FENGQUAN_2.20MKY01EZ245XB01,Entity
LAC主系统的20区域,Entity
AA,Entity
112,Entity
CHUZHOU_2电厂02号机组,Entity
A,Entity
XM61,Entity
Output Value,Entity
测点测量值单位为,Relation
测点无效代码标识为,Relation
无效代码标识为,Relation
测量值单位为,Relation
对应的KKS码为,Relation
功能描述为,Relation
监测的设备类型是,Relation
位于,Relation
应用于,Relation
监测的设备序列号是,Relation
