:START_ID,:END_ID,:TYPE
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
AA,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
101,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
HAD主系统的55区域,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
CHANGXING_1电厂10号机组,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
XQ11XQ12,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
中压汽包连排电动调节阀,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
%,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
SGC.CHANGXING_1.10MAD13CT014A232203OUT,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
CT,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
014,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
MAD主系统的13区域,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
A232203OUT,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
Output Value,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
null,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
测点SGC.HEFEI_1.01LAC20BG112,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
SGC.HEFEI_1.01LAC20BG112,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
BG,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
112,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
LAC主系统的20区域,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
HEFEI_1电厂01号机组,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
中压给水泵A驱动端径向轴承座Y向振动,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
测点SGC.HEFEI_1.01LAC20BG113,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
SGC.HEFEI_1.01LAC20BG113,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
113,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
中压给水泵A非驱动端径向轴承座X向振动,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
测点SGC.HEFEI_1.01LAC20BG114,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
SGC.HEFEI_1.01LAC20BG114,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
114,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
中压给水泵A非驱动端径向轴承座Y向振动,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
测点SGC.CHUZHOU_2.02MBL13CP101XQ01,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
SGC.CHUZHOU_2.02MBL13CP101XQ01,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
CP,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
MBL主系统的13区域,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
CHUZHOU_2电厂02号机组,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
XQ01,3667d566dd02c3428529220420f5a33be8198979117eb3e95846e47e875c3fc0,Source
