:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,对应的KKS码为,"['关联代码', '对应编码', '对应标识', '关联码']",[],0,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,AA,监测的设备类型是,"['监控仪器', '监测设备', '检测装置', '监测工具']",[],1,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,101,监测的设备序列号是,"['设备编号', '监测标识', '序列标识', '设备标识']",[],2,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,HAD主系统的55区域,位于,"['在...之中', '置于', '所在地', '定位', '处于...位置']",[],3,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,CHANGXING_1电厂10号机组,应用于,"['适用', '作用于', '运用', '应用', '实施']",[],4,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,XQ11XQ12,无效代码标识为,"['标记为无效', '识别为错误', '标注为无用', '标示为非法']",[],5,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,中压汽包连排电动调节阀,功能描述为,"['执行作用', '实现功能', '提供服务', '承担职责']",[],6,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,%,测量值单位为,"['单位制', '量纲', '测量单位', '标度', '单位']",[],7,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,SGC.CHANGXING_1.10MAD13CT014A232203OUT,对应的KKS码为,"['关联代码', '对应编码', '对应标识', '关联码']",[],8,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CT,监测的设备类型是,"['监控仪器', '监测设备', '检测装置', '监测工具']",[],9,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,014,监测的设备序列号是,"['设备编号', '监测标识', '序列标识', '设备标识']",[],10,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,MAD主系统的13区域,位于,"['在...之中', '置于', '所在地', '定位', '处于...位置']",[],11,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CHANGXING_1电厂10号机组,应用于,"['适用', '作用于', '运用', '应用', '实施']",[],12,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,A232203OUT,无效代码标识为,"['标记为无效', '识别为错误', '标注为无用', '标示为非法']",[],13,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,Output Value,功能描述为,"['执行作用', '实现功能', '提供服务', '承担职责']",[],14,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,null,测量值单位为,"['单位制', '量纲', '测量单位', '标度', '单位']",[],15,Relation
测点SGC.HEFEI_1.01LAC20BG112,SGC.HEFEI_1.01LAC20BG112,对应的KKS码为,"['关联代码', '对应编码', '对应标识', '关联码']",[],16,Relation
测点SGC.HEFEI_1.01LAC20BG112,BG,监测的设备类型是,"['监控仪器', '监测设备', '检测装置', '监测工具']",[],17,Relation
测点SGC.HEFEI_1.01LAC20BG112,112,监测的设备序列号是,"['设备编号', '监测标识', '序列标识', '设备标识']",[],18,Relation
测点SGC.HEFEI_1.01LAC20BG112,LAC主系统的20区域,位于,"['在...之中', '置于', '所在地', '定位', '处于...位置']",[],19,Relation
测点SGC.HEFEI_1.01LAC20BG112,HEFEI_1电厂01号机组,应用于,"['适用', '作用于', '运用', '应用', '实施']",[],20,Relation
测点SGC.HEFEI_1.01LAC20BG112,中压给水泵A驱动端径向轴承座Y向振动,功能描述为,"['执行作用', '实现功能', '提供服务', '承担职责']",[],21,Relation
测点SGC.HEFEI_1.01LAC20BG112,null,测量值单位为,"['单位制', '量纲', '测量单位', '标度', '单位']",[],22,Relation
测点SGC.HEFEI_1.01LAC20BG113,SGC.HEFEI_1.01LAC20BG113,对应的KKS码为,"['关联代码', '对应编码', '对应标识', '关联码']",[],23,Relation
测点SGC.HEFEI_1.01LAC20BG113,BG,监测的设备类型是,"['监控仪器', '监测设备', '检测装置', '监测工具']",[],24,Relation
测点SGC.HEFEI_1.01LAC20BG113,113,监测的设备序列号是,"['设备编号', '监测标识', '序列标识', '设备标识']",[],25,Relation
测点SGC.HEFEI_1.01LAC20BG113,LAC主系统的20区域,位于,"['在...之中', '置于', '所在地', '定位', '处于...位置']",[],26,Relation
测点SGC.HEFEI_1.01LAC20BG113,HEFEI_1电厂01号机组,应用于,"['适用', '作用于', '运用', '应用', '实施']",[],27,Relation
测点SGC.HEFEI_1.01LAC20BG113,中压给水泵A非驱动端径向轴承座X向振动,功能描述为,"['执行作用', '实现功能', '提供服务', '承担职责']",[],28,Relation
测点SGC.HEFEI_1.01LAC20BG113,null,测量值单位为,"['单位制', '量纲', '测量单位', '标度', '单位']",[],29,Relation
测点SGC.HEFEI_1.01LAC20BG114,SGC.HEFEI_1.01LAC20BG114,对应的KKS码为,"['关联代码', '对应编码', '对应标识', '关联码']",[],30,Relation
测点SGC.HEFEI_1.01LAC20BG114,BG,监测的设备类型是,"['监控仪器', '监测设备', '检测装置', '监测工具']",[],31,Relation
测点SGC.HEFEI_1.01LAC20BG114,114,监测的设备序列号是,"['设备编号', '监测标识', '序列标识', '设备标识']",[],32,Relation
测点SGC.HEFEI_1.01LAC20BG114,LAC主系统的20区域,位于,"['在...之中', '置于', '所在地', '定位', '处于...位置']",[],33,Relation
测点SGC.HEFEI_1.01LAC20BG114,HEFEI_1电厂01号机组,应用于,"['适用', '作用于', '运用', '应用', '实施']",[],34,Relation
测点SGC.HEFEI_1.01LAC20BG114,中压给水泵A非驱动端径向轴承座Y向振动,功能描述为,"['执行作用', '实现功能', '提供服务', '承担职责']",[],35,Relation
测点SGC.HEFEI_1.01LAC20BG114,null,测量值单位为,"['单位制', '量纲', '测量单位', '标度', '单位']",[],36,Relation
