name:ID,type,concepts,synsets,:LABEL
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,entity,[],[],Node
SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,entity,[],[],Node
AA,entity,[],[],Node
101,entity,[],[],Node
HAD主系统的55区域,entity,[],[],Node
CHANGXING_1电厂10号机组,entity,[],[],Node
XQ11XQ12,entity,[],[],Node
中压汽包连排电动调节阀,entity,[],[],Node
%,entity,[],[],Node
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,entity,[],[],Node
SGC.CHANGXING_1.10MAD13CT014A232203OUT,entity,[],[],Node
CT,entity,[],[],Node
014,entity,[],[],Node
MAD主系统的13区域,entity,[],[],Node
A232203OUT,entity,[],[],Node
Output Value,entity,[],[],Node
null,entity,[],[],Node
测点SGC.HEFEI_1.01LAC20BG112,entity,[],[],Node
SGC.HEFEI_1.01LAC20BG112,entity,[],[],Node
BG,entity,[],[],Node
112,entity,[],[],Node
LAC主系统的20区域,entity,[],[],Node
HEFEI_1电厂01号机组,entity,[],[],Node
中压给水泵A驱动端径向轴承座Y向振动,entity,[],[],Node
测点SGC.HEFEI_1.01LAC20BG113,entity,[],[],Node
SGC.HEFEI_1.01LAC20BG113,entity,[],[],Node
113,entity,[],[],Node
中压给水泵A非驱动端径向轴承座X向振动,entity,[],[],Node
测点SGC.HEFEI_1.01LAC20BG114,entity,[],[],Node
SGC.HEFEI_1.01LAC20BG114,entity,[],[],Node
114,entity,[],[],Node
中压给水泵A非驱动端径向轴承座Y向振动,entity,[],[],Node
测点SGC.CHUZHOU_2.02MBL13CP101XQ01,entity,[],[],Node
SGC.CHUZHOU_2.02MBL13CP101XQ01,entity,[],[],Node
CP,entity,[],[],Node
MBL主系统的13区域,entity,[],[],Node
CHUZHOU_2电厂02号机组,entity,[],[],Node
XQ01,entity,[],[],Node
NG_1电厂10号机组,entity,[],[],Node
XQ01XQ11,entity,[],[],Node
凝结水泵A电流,entity,[],[],Node
A,entity,[],[],Node
测点SGC.YIXING_2.20LAB72AA005YB01,entity,[],[],Node
SGC.YIXING_2.20LAB72AA005YB01,entity,[],[],Node
005,entity,[],[],Node
LAB主系统的72区域,entity,[],[],Node
YIXING_2电厂20号机组,entity,[],[],Node
YB01,entity,[],[],Node
测点SGC.CHANGXING_1.10LAE02CF101XQ01,entity,[],[],Node
SGC.CHANGXING_1.10LAE02CF101XQ01,entity,[],[],Node
CF,entity,[],[],Node
LAE主系统的02区域,entity,[],[],Node
高压旁路喷水流量1,entity,[],[],Node
t/h,entity,[],[],Node
测点SGC.CUISHANHU_2.20MBL11AA050XM61,entity,[],[],Node
SGC.CUISHANHU_2.20MBL11AA050XM61,entity,[],[],Node
050,entity,[],[],Node
MBL主系统的11区域,entity,[],[],Node
CUISHANHU_2电厂20号机组,entity,[],[],Node
XM61,entity,[],[],Node
SOV AUX. CONTACT INCONSISTENCY,entity,[],[],Node
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,entity,[],[],Node
SGC.FENGQUAN_2.20MKY01EZ245XB01,entity,[],[],Node
EZ,entity,[],[],Node
245,entity,[],[],Node
MKY主系统的01区域,entity,[],[],Node
FENGQUAN_2电厂20号机组,entity,[],[],Node
XB01,entity,[],[],Node
GEN. GCB FAILURE PROTECTION CH.B,entity,[],[],Node
测点SGC.HEFEI_1.01LAC20BG121,entity,[],[],Node
SGC.HEFEI_1.01LAC20BG121,entity,[],[],Node
