name:ID,type,concepts,synsets,numeric_id,:LABEL
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,entity,[],[],0,Node
SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,entity,[],[],1,Node
AA,entity,[],[],2,Node
101,entity,[],[],3,Node
HAD主系统的55区域,entity,[],[],4,Node
CHANGXING_1电厂10号机组,entity,[],[],5,Node
XQ11XQ12,entity,[],[],6,Node
中压汽包连排电动调节阀,entity,[],[],7,Node
%,entity,[],[],8,Node
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,entity,[],[],9,Node
SGC.CHANGXING_1.10MAD13CT014A232203OUT,entity,[],[],10,Node
CT,entity,[],[],11,Node
014,entity,[],[],12,Node
MAD主系统的13区域,entity,[],[],13,Node
A232203OUT,entity,[],[],14,Node
Output Value,entity,[],[],15,Node
null,entity,[],[],16,Node
测点SGC.HEFEI_1.01LAC20BG112,entity,[],[],17,Node
SGC.HEFEI_1.01LAC20BG112,entity,[],[],18,Node
BG,entity,[],[],19,Node
112,entity,[],[],20,Node
LAC主系统的20区域,entity,[],[],21,Node
HEFEI_1电厂01号机组,entity,[],[],22,Node
中压给水泵A驱动端径向轴承座Y向振动,entity,[],[],23,Node
测点SGC.HEFEI_1.01LAC20BG113,entity,[],[],24,Node
SGC.HEFEI_1.01LAC20BG113,entity,[],[],25,Node
113,entity,[],[],26,Node
中压给水泵A非驱动端径向轴承座X向振动,entity,[],[],27,Node
测点SGC.HEFEI_1.01LAC20BG114,entity,[],[],28,Node
SGC.HEFEI_1.01LAC20BG114,entity,[],[],29,Node
114,entity,[],[],30,Node
中压给水泵A非驱动端径向轴承座Y向振动,entity,[],[],31,Node
测点SGC.CHUZHOU_2.02MBL13CP101XQ01,entity,[],[],32,Node
SGC.CHUZHOU_2.02MBL13CP101XQ01,entity,[],[],33,Node
CP,entity,[],[],34,Node
MBL主系统的13区域,entity,[],[],35,Node
CHUZHOU_2电厂02号机组,entity,[],[],36,Node
XQ01,entity,[],[],37,Node
NG_1电厂10号机组,entity,[],[],38,Node
XQ01XQ11,entity,[],[],39,Node
凝结水泵A电流,entity,[],[],40,Node
A,entity,[],[],41,Node
测点SGC.YIXING_2.20LAB72AA005YB01,entity,[],[],42,Node
SGC.YIXING_2.20LAB72AA005YB01,entity,[],[],43,Node
005,entity,[],[],44,Node
LAB主系统的72区域,entity,[],[],45,Node
YIXING_2电厂20号机组,entity,[],[],46,Node
YB01,entity,[],[],47,Node
测点SGC.CHANGXING_1.10LAE02CF101XQ01,entity,[],[],48,Node
SGC.CHANGXING_1.10LAE02CF101XQ01,entity,[],[],49,Node
CF,entity,[],[],50,Node
LAE主系统的02区域,entity,[],[],51,Node
高压旁路喷水流量1,entity,[],[],52,Node
t/h,entity,[],[],53,Node
测点SGC.CUISHANHU_2.20MBL11AA050XM61,entity,[],[],54,Node
SGC.CUISHANHU_2.20MBL11AA050XM61,entity,[],[],55,Node
050,entity,[],[],56,Node
MBL主系统的11区域,entity,[],[],57,Node
CUISHANHU_2电厂20号机组,entity,[],[],58,Node
XM61,entity,[],[],59,Node
SOV AUX. CONTACT INCONSISTENCY,entity,[],[],60,Node
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,entity,[],[],61,Node
SGC.FENGQUAN_2.20MKY01EZ245XB01,entity,[],[],62,Node
EZ,entity,[],[],63,Node
245,entity,[],[],64,Node
MKY主系统的01区域,entity,[],[],65,Node
FENGQUAN_2电厂20号机组,entity,[],[],66,Node
XB01,entity,[],[],67,Node
GEN. GCB FAILURE PROTECTION CH.B,entity,[],[],68,Node
测点SGC.HEFEI_1.01LAC20BG121,entity,[],[],69,Node
SGC.HEFEI_1.01LAC20BG121,entity,[],[],70,Node
