node,conceptualized_node,node_type
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,"测点, 标识, 数据点, 传感器, 位置",entity
SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,"测点, 设备, 编码, 标识, 系统, 位置",entity
CF,"设备, 监测点, 传感器, 仪表, 参数, 信号, 采集点",entity
CHUZHOU_2电厂02号机组,"电厂, 机组, 设备, 系统, 电力, 装置",entity
SGC.YIXING_2.20LAB72AA005YB01,"测点, 编码, 设备标识, 系统节点, 位置代码",entity
CUISHANHU_2电厂20号机组,"机组, 设备, 电厂, 系统, 电力, 装置",entity
XM61,"设备, 传感器, 测点, 仪器, 代码, 标识",entity
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,"测点, 输出值, 数据点, 监测点, 信号点, 设备节点",entity
SGC.CHANGXING_1.10LAE02CF101XQ01,"测点, 编码, 设备标识, 传感器, 数据点",entity
HAD主系统的55区域,"区域, 系统, 测点, 控制区, 工程单元",entity
%,"百分比, 比例, 比率, 概率, 数值",entity
MKY主系统的01区域,"区域, 系统, 测点, 控制区, 设备区, 工程区",entity
测点SGC.CHUZHOU_2.02MBL13CP101XQ01,"测点, 传感器, 数据点, 监测点, 位置标识",entity
测点SGC.HEFEI_1.01LAC20BG121,"测点, 设备, 传感器, 位置, 数据点",entity
CP,"测点, 设备, 监测点, 传感器, 位置",entity
HEFEI_1电厂01号机组,"电厂, 机组, 设备, 系统, 电力, 装置",entity
测点SGC.HEFEI_1.01LAC20BG112,"设备, 监测点, 序列号, 传感器, 采集点, 硬件, 编码",entity
中压汽包连排电动调节阀,"阀门, 调节装置, 工业设备, 控制元件, 机械部件, 电力控制, 管道组件",entity
050,"编号, 序列号, 设备标识, 代码, 代号",entity
A,"单位, 测量值, 电厂, 机组",entity
CHANGXING_1电厂10号机组,"电厂, 机组, 设备, 系统, 装置, 电力, 运行",entity
t/h,"单位, 测量值, 参数, 数据, 量纲, 指标",entity
CT,"设备, 仪器, 传感器, 监测装置, 测量工具",entity
XQ01,"测点, 设备, 代码, 标识, 传感器",entity
113,"编号, 序号, 设备号, 代码, 标识",entity
GEN. GCB FAILURE PROTECTION CH.B,"组件, 部件, 模块, 信号点, 保护装置, 控制回路",entity
101,"编号, 序列号, 设备号, 代码, 标识",entity
SGC.HEFEI_1.01LAC20BG112,"测点, 设备, 编码, 位置, 标识",entity
YIXING_2电厂20号机组,"电厂, 机组, 设备, 系统, 电力, 发电, 装置",entity
BG,"设备, 传感器, 监测点, 仪器, 系统, 模块",entity
YB01,"设备, 传感器, 测点, 标识, 系统, 代码",entity
A232203OUT,"测点, 代码, 标识, 数据, 信号",entity
SGC.HEFEI_1.01LAC20BG114,"测点, 设备, 编码, 标识, 数据点",entity
SGC.HEFEI_1.01LAC20BG113,"测点, 编码, 设备标识, 传感器, 数据点",entity
FENGQUAN_2电厂20号机组,"电厂, 机组, 设备, 电力系统, 发电单元, 控制点",entity
AA,"设备, 仪器, 系统, 传感器, 监测装置",entity
MBL主系统的13区域,"区域, 系统, 测点, 监测点, 分区, 设备",entity
