2025-12-29 12:54:37,935 - INFO - Usage log: Node STORE, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 469, 'total_tokens': 488, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.300675630569458}
2025-12-29 12:54:37,936 - INFO - Usage log: Node MAA 主系统, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 471, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.36389851570129395}
2025-12-29 12:54:37,937 - INFO - Usage log: Node °, completion_usage: {'completion_tokens': 11, 'prompt_tokens': 472, 'total_tokens': 483, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.21654605865478516}
2025-12-29 12:54:37,938 - INFO - Usage log: Node CHUZHOU_1 电厂, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 483, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3843069076538086}
2025-12-29 12:54:37,939 - INFO - Usage log: Node 67. SIHUI_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 458, 'total_tokens': 475, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.34593915939331055}
2025-12-29 12:54:37,940 - INFO - Usage log: Node SGC.YIXING_1.10MAV21AP022YB02, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3126230239868164}
2025-12-29 12:54:37,940 - INFO - Usage log: Node 设备 AH001, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 463, 'total_tokens': 479, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2742917537689209}
2025-12-29 12:54:37,941 - INFO - Usage log: Node 20MAD12CY011XQ01, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 487, 'total_tokens': 508, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.33054375648498535}
2025-12-29 12:54:37,942 - INFO - Usage log: Node COOL. AIR FLAP 2 STAGE 2 CONTROL, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 481, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2912170886993408}
2025-12-29 12:54:37,943 - INFO - Usage log: Node 00 区域, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 460, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3126225471496582}
2025-12-29 12:54:37,943 - INFO - Usage log: Node 621, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 476, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2917149066925049}
2025-12-29 12:54:37,944 - INFO - Usage log: Node XQ02, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 474, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2673220634460449}
2025-12-29 12:54:37,945 - INFO - Usage log: Node MBY 主系统, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 479, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.283750057220459}
2025-12-29 12:54:37,945 - INFO - Usage log: Node 设备 EC001, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 473, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.32009458541870117}
2025-12-29 12:54:37,946 - INFO - Usage log: Node 设备 BG112, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 459, 'total_tokens': 475, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2991805076599121}
2025-12-29 12:54:37,946 - INFO - Usage log: Node UNIT TEMP SETP GT, completion_usage: {'completion_tokens': 14, 'prompt_tokens': 472, 'total_tokens': 486, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27230024337768555}
2025-12-29 12:54:38,611 - INFO - Usage log: Node 24. HEFEI_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 458, 'total_tokens': 475, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2996792793273926}
2025-12-29 12:54:38,612 - INFO - Usage log: Node MBA 主系统, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 460, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3230769634246826}
2025-12-29 12:54:38,613 - INFO - Usage log: Node BG, completion_usage: {'completion_tokens': 14, 'prompt_tokens': 451, 'total_tokens': 465, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2703094482421875}
2025-12-29 12:54:38,613 - INFO - Usage log: Node 245, completion_usage: {'completion_tokens': 11, 'prompt_tokens': 454, 'total_tokens': 465, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26184630393981934}
2025-12-29 12:54:38,614 - INFO - Usage log: Node 12 区域, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 479, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3723597526550293}
2025-12-29 12:54:38,615 - INFO - Usage log: Node EZ, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 451, 'total_tokens': 467, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28673696517944336}
2025-12-29 12:54:38,616 - INFO - Usage log: Node HEFEI_2 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 474, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30963611602783203}
2025-12-29 12:54:38,616 - INFO - Usage log: Node 10MAV21AP022YB02, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 485, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3205881118774414}
2025-12-29 12:54:38,617 - INFO - Usage log: Node AH, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 451, 'total_tokens': 471, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3205885887145996}
2025-12-29 12:54:38,618 - INFO - Usage log: Node 10MBV10AH001ZV60, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 488, 'total_tokens': 509, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31361818313598633}
2025-12-29 12:54:38,618 - INFO - Usage log: Node 设备 BG113, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 463, 'total_tokens': 482, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3260633945465088}
2025-12-29 12:54:38,619 - INFO - Usage log: Node 01 区域, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 460, 'total_tokens': 481, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.36094069480895996}
2025-12-29 12:54:38,620 - INFO - Usage log: Node SGC.FENGQUAN_2.20MKY01EZ245XB01, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 474, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3166356086730957}
2025-12-29 12:54:38,621 - INFO - Usage log: Node 001, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 476, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2767806053161621}
2025-12-29 12:54:38,621 - INFO - Usage log: Node 测点SGC.SIHUI_2.20MBA26CT108AXQ01, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 472, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2727980613708496}
2025-12-29 12:54:38,622 - INFO - Usage log: Node 测点SGC.HEFEI_2.02PAC01UC020XQ02, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 472, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2265019416809082}
2025-12-29 12:54:39,304 - INFO - Usage log: Node 020, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 476, 'total_tokens': 492, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27777647972106934}
2025-12-29 12:54:39,305 - INFO - Usage log: Node 设备 CP102, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 482, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31212496757507324}
2025-12-29 12:54:39,306 - INFO - Usage log: Node 20 号机组, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 476, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3355216979980469}
2025-12-29 12:54:39,306 - INFO - Usage log: Node EC, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 473, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.35742640495300293}
