Name,Type
020,Entity
设备 AH001,Entity
022,Entity
MKY 主系统,Entity
设备 BG112,Entity
设备 CT108,Entity
13 区域,Entity
测点SGC.GANLU_1.10MBH22AA102XC91,Entity
°,Entity
CT108,Entity
测点SGC.SIHUI_2.20MBA26CT108AXQ01,Entity
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,Entity
UNIT TEMP SETP GT,Entity
AH001,Entity
SGC.CHUZHOU_1.10MBH22CP102XQ01,Entity
设备 AP022,Entity
%,Entity
101,Entity
10MBY10DU061XQ01,Entity
10MAD13CT014A232203OUT,Entity
10 号机组,Entity
测点SGC.DANYANG_2.20MAY10EC001_ESVCLSD,Entity
01 区域,Entity
102,Entity
EC,Entity
SGC.YIXING_1.10MAV21AP022YB02,Entity
MBH 主系统,Entity
69. FENGQUAN_1 电厂,Entity
EZ,Entity
设备 DT100,Entity
设备 CT014,Entity
061,Entity
测点SGC.YIXING_1.10MAA50EZ621_XK94,Entity
测点SGC.FENGQUAN_1.10MBV10AH001ZV60,Entity
GEN. GCB FAILURE PROTECTION CH.B,Entity
10 区域,Entity
AA102,Entity
26. HEFEI_2 电厂,Entity
12 区域,Entity
02PAC01UC020XQ02,Entity
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,Entity
设备 CY011,Entity
设备 AA101,Entity
XQ11XQ12,Entity
CT,Entity
10MAV21AP022YB02,Entity
100,Entity
TURBINE EXHAUST GAS TEMP A 8,Entity
22 区域,Entity
20 号机组,Entity
SIHUI_2 电厂,Entity
HAD 主系统,Entity
A232203OUT,Entity
MBV 主系统,Entity
LUBE OIL HEATER TRIP,Entity
24. HEFEI_2 电厂,Entity
01 号机组,Entity
HEFEI_1 电厂,Entity
245,Entity
Output Value,Entity
设备 UC020,Entity
设备 AA102,Entity
PAC 主系统,Entity
XB01,Entity
FENGQUAN_2 电厂,Entity
20MKY01EZ245XB01,Entity
DU,Entity
112,Entity
测点SGC.YIXING_1.10MAV21AP022YB02,Entity
AA,Entity
MBY 主系统,Entity
CP,Entity
循环水泵2变频器柜电机电压,Entity
26 区域,Entity
XQ02,Entity
AH,Entity
ZV60,Entity
MAY 主系统,Entity
GANLU_1 电厂,Entity
21 区域,Entity
014,Entity
SGC.FENGQUAN_2.20MKY01EZ245XB01,Entity
测点SGC.HEFEI_2.02PAC01UC020XQ01,Entity
DANYANG_2.21MBV30CP901XG02,Entity
25. CHUZHOU_1 电厂,Entity
27. ZHOUKOU_2 电厂,Entity
20MAD12CY011XQ01,Entity
测点SGC.JIANGYIN_2.20MAD12CY011XQ01,Entity
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,Entity
MAD 主系统,Entity
011,Entity
113,Entity
10MBV10AH001ZV60,Entity
AP,Entity
YIXING_1 电厂,Entity
JIANGYIN_2 电厂,Entity
设备 CP102,Entity
CHUZHOU_1 电厂,Entity
20,Entity
ST AX BRG S POSN,Entity
mm,Entity
MBA 主系统,Entity
20MBA26CT108AXQ01,Entity
中压汽包连排电动调节阀,Entity
DANYANG_2 电厂,Entity
SGC.JIANGYIN_2.20MAD12CY011XQ01,Entity
MAV 主系统,Entity
67. SIHUI_2 电厂,Entity
UC,Entity
HEFEI_2 电厂,Entity
DT,Entity
测点SGC.HEFEI_1.01LAC20BG112,Entity
AXQ01,Entity
null,Entity
中压给水泵A驱动端径向轴承座Y向振动,Entity
EZ621,Entity
XC91,Entity
621,Entity
00 区域,Entity
50 区域,Entity
_XK94,Entity
55 区域,Entity
MAA 主系统,Entity
68. GANLU_1 电厂,Entity
10CJA00DT100STORE,Entity
XQ01,Entity
10MBH22AA102XC91,Entity
02PAC01UC020XQ01,Entity
测点SGC.CHANGXING_1.10CJA00DT100STORE,Entity
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,Entity
设备 EC001,Entity
10HAD55AA101XQ11XQ12,Entity
BG,Entity
测点SGC.CHUZHOU_1.10MBY10DU061XQ01,Entity
COOL. AIR FLAP 2 STAGE 2 CONTROL,Entity
设备 EZ245,Entity
001,Entity
CY,Entity
CJA 主系统,Entity
CHANGXING_1 电厂,Entity
STORE,Entity
02 号机组,Entity
108,Entity
YB02,Entity
设备 DU061,Entity
20 区域,Entity
LAC 主系统,Entity
10MBH22CP102XQ01,Entity
01LAC20BG112,Entity
设备 BG113,Entity
测点SGC.HEFEI_2.02PAC01UC020XQ02,Entity
FENGQUAN_1 电厂,Entity
循环水泵2变频器柜电机电流,Entity
用于监测的设备序列号为,Relation
配置,Relation
划分有,Relation
测量值单位为,Relation
划分,Relation
无效代码标识为,Relation
核心 KKS 码为,Relation
的核心KKS码为,Relation
部署,Relation
设备序列号是,Relation
功能描述为,Relation
设备类型是,Relation
用于监测的设备类型是,Relation
包含,Relation
用于监测的设备类型为,Relation
用于监测设备,Relation
位于,Relation
用于监测,Relation
