node,conceptualized_node,node_type
STORE,"存储, 数据, 仓库, 空间, 信息, 系统",entity
MAA 主系统,"系统, 主控, 控制, 设备, 模块, 平台",entity
°,"度数, 单位, 角度",entity
CHUZHOU_1 电厂,"电厂, 机组, 设备, 电力设施, 发电厂, 能源站",entity
67. SIHUI_2 电厂,"电厂, 机组, 能源设施, 发电站, 电力系统",entity
SGC.YIXING_1.10MAV21AP022YB02,"设备, 序列号, 监测单元, 识别码, 仪器",entity
设备 AH001,"设备, 仪器, 机械, 装置, 产品",entity
20MAD12CY011XQ01,"测点, 编码, 代码, 标识, 系统, 项目",entity
COOL. AIR FLAP 2 STAGE 2 CONTROL,"控制, 系统, 模块, 装置, 机制",entity
00 区域,"区域, 空间, 编码, 部署, 系统",entity
621,"编号, 序列号, 设备标识, 代码, 标识符",entity
XQ02,"设备, 传感器, 测点, 系统, 模块",entity
MBY 主系统,"系统, 控制, 设备, 模块, 平台, 仪器",entity
设备 EC001,"设备, 监测点, 传感器, 仪器, 测点, 电子装置",entity
设备 BG112,"设备, 类型, 仪器, 机械, 装置",entity
UNIT TEMP SETP GT,"测点, 设备, 参数, 传感器, 数据点",entity
24. HEFEI_2 电厂,"电厂, 机组, 电力设施, 能源设施, 发电站",entity
MBA 主系统,"系统, 主机, 控制, 模块, 核心",entity
BG,"设备, 类型, 产品, 仪器, 机械",entity
245,"数字, 编号, 序列号",entity
12 区域,"区域, 地区, 空间, 范围, 部位",entity
EZ,"设备, 类型, 产品, 机器, 硬件",entity
HEFEI_2 电厂,"电厂, 设施, 电站, 能源中心, 电力系统",entity
10MAV21AP022YB02,"编码, 代码, 标识, 代码标识, 系统编号",entity
AH,"设备, 类型, 标识, 编号, 系统, 项目",entity
10MBV10AH001ZV60,"设备, 编码, 测点, 传感器, 系统, 标识",entity
设备 BG113,"设备, 仪器, 机械, 产品, 装置, 机器",entity
01 区域,"区域, 分区, 管辖地, 功能区, 管理区",entity
SGC.FENGQUAN_2.20MKY01EZ245XB01,"设备, 序列号, 监测仪, 仪器, 编码, 识别码",entity
001,"编号, 序号, 代码, 标识, 设备号",entity
测点SGC.SIHUI_2.20MBA26CT108AXQ01,"测点, 监测点, 数据点, 传感器, 设备节点",entity
测点SGC.HEFEI_2.02PAC01UC020XQ02,"测点, 设备, 传感器, 监测点, 位置",entity
020,"序列号, 设备编号, 识别码, 标识符",entity
设备 CP102,"设备, 仪器, 监测点, 传感器, 装置",entity
20 号机组,"机组, 系统, 设备, 装置, 单元",entity
EC,"设备, 仪器, 传感器, 监测装置, 测点, 电子元件",entity
10CJA00DT100STORE,"测点, 设备, 编码, 标识, 系统, 代码",entity
测点SGC.DANYANG_2.20MAY10EC001_ESVCLSD,"测点, 设备, 监测点, 传感器, 位置, 数据点",entity
YIXING_1 电厂,"电厂, 电站, 发电厂, 能源设施, 电力系统",entity
测点SGC.CHANGXING_1.10CJA00DT100STORE,"测点, 设备, 系统, 传感器, 位置",entity
20 区域,"区域, 区块, 管辖地, 地理区域, 管理区",entity
中压给水泵A驱动端径向轴承座Y向振动,"振动, 轴承, 机械, 设备, 监测, 参数",entity
XB01,"测点, 代码, 标识, 设备, 数据点",entity
26 区域,"区域, 分区, 系统, 部署, 子系统",entity
PAC 主系统,"系统, 控制, 设备, 模块, 工业, 自动化",entity
SGC.CHUZHOU_1.10MBH22CP102XQ01,"设备, 电厂, 机器, 系统, 装置",entity
10 号机组,"机组, 系统, 设备, 电力, 装置, 电站",entity
EZ621,"设备, 测点, 传感器, 监测点, 仪器",entity
测点SGC.FENGQUAN_2.20MKY01EZ245XB01,"测点, 设备, 代码, 标识, 系统, 传感器",entity
ST AX BRG S POSN,"测点, 功能, 描述, 位置, 数据点, 监测点",entity
中压汽包连排电动调节阀,"阀门, 调节装置, 工业设备, 控制元件, 电力驱动, 机械部件",entity
MBH 主系统,"系统, 设备, 控制, 仪器, 模块, 工程, 机械",entity
100,"数字, 数值, 一百",entity
26. HEFEI_2 电厂,"电厂, 机组, 电力设施, 能源设施, 发电厂",entity
02PAC01UC020XQ01,"测点, 设备, 编码, 标识, 系统, 代码",entity
设备 CY011,"设备, 仪器, 监测装置, 传感器, 机械, 装置",entity
测点SGC.JIANGYIN_2.20MAD12CY011XQ01,"监测点, 设备, 传感器, 数据点, 位置, 采集点",entity
69. FENGQUAN_1 电厂,"电厂, 电站, 发电厂, 能源设施",entity
20MBA26CT108AXQ01,"编码, 代码, 识别码, 标识符, 系统码",entity
_XK94,"代码, 标识, 测点, 数据, 无效, 编码",entity
HEFEI_1 电厂,"电厂, 机组, 设备, 电力系统, 发电站",entity
测点SGC.YIXING_1.10MAA50EZ621_XK94,"测点, 传感器, 设备, 位置, 监测点",entity
CT,"ct设备, 扫描仪, 医疗影像, 成像技术",entity
设备 AA102,"设备, 仪器, 系统, 机器, 装置",entity
MAY 主系统,"系统, 主机, 控制单元, 模块, 平台, 装置",entity
mm,"毫米, 单位, 测量, 长度, 尺寸",entity
102,"编号, 序列号, 设备标识",entity
设备 AA101,"设备, 序列号, 仪器, 装置, 编号",entity
MKY 主系统,"系统, 主机, 控制单元, 模块, 装置",entity
循环水泵2变频器柜电机电流,"设备, 传感器, 参数, 电气, 控制, 测点",entity
MBV 主系统,"系统, 主机, 控制, 模块, 平台",entity
设备 AP022,"设备, 仪器, 机器, 装置, 系统",entity
13 区域,"区域, 部署点, 测点, 设备区, 监测区",entity
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,"监测点, 设备节点, 数据采集点, 传感器, 位置标识",entity
XQ01,"设备, 传感器, 测点, 代码, 标识",entity
022,"设备, 序列号, 编号, 标识, 代码",entity
测点SGC.HEFEI_2.02PAC01UC020XQ01,"监测点, 设备, 传感器, 位置, 数据采集点",entity
YB02,"测点, 代码, 标识, 设备, 传感器",entity
测点SGC.GANLU_1.10MBH22AA102XC91,"测点, 传感器, 设备, 位置, 数据点",entity
TURBINE EXHAUST GAS TEMP A 8,"温度, 测点, 参数, 传感器, 数据, 监测",entity
设备 CT108,"设备, 序列号, 仪器, 机器, 装置",entity
AA102,"测点, 监测点, 设备点, 数据点, 传感器, 位置",entity
AH001,"测点, 设备, 监测点, 传感器, 数据点",entity
DU,"设备, 仪器, 监测点, 测点, 装置, 传感器",entity
AA,"设备, 仪器, 传感器, 监测装置, 机械, 装置",entity
21 区域,"区域, 部署, 系统, 设备, 分区, 空间",entity
XQ11XQ12,"测点, 代码, 标识, 设备, 传感器",entity
测点SGC.CHUZHOU_1.10MBY10DU061XQ01,"测点, 设备, 监测点, 传感器, 编号, 数据点",entity
01LAC20BG112,"编码, 代码, 标识, 代码标识, 系统编号",entity
10MBH22CP102XQ01,"测点, 编码, 设备, 代码, 标识",entity
MAD 主系统,"系统, 控制, 设备, 仪器, 模块, 平台",entity
设备 CT014,"设备, 监测点, 传感器, 仪器, 代码, 识别号",entity
CHANGXING_1 电厂,"电厂, 机组, 设备, 电力设施, 发电站, 能源设施",entity
设备 DU061,"设备, 仪器, 监测点, 传感器, 代码, 识别号",entity
AXQ01,"测点, 代码, 标识, 设备, 传感器, 数据点",entity
FENGQUAN_2 电厂,"电厂, 发电站, 能源设施, 电力系统, 电力中心",entity
%,"百分比, 比率, 比例, 单位, 数值",entity
LUBE OIL HEATER TRIP,"设备, 传感器, 保护装置, 监测点, 控制系统",entity
测点SGC.FENGQUAN_1.10MBV10AH001ZV60,"测点, 传感器, 数据点, 监测点, 设备, 电厂, 仪表",entity
SGC.JIANGYIN_2.20MAD12CY011XQ01,"设备, 序列号, 监测仪, 编码, 识别码",entity
CP,"设备, 类型, 产品, 仪器, 机械",entity
XC91,"测点, 代码, 标识, 设备, 传感器, 系统",entity
CY,"设备, 仪器, 监测装置, 传感器, 机器",entity
HAD 主系统,"系统, 主机, 控制, 平台, 装置",entity
设备 EZ245,"设备, 仪器, 系统, 装置, 机器",entity
20,"数字, 数值, 二十",entity
UC,"设备, 通信, 联络, 系统, 机构",entity
GEN. GCB FAILURE PROTECTION CH.B,"组件, 部件, 模块, 传感器, 设备, 系统",entity
014,"序列号, 编号, 设备标识, 代码, 标识符",entity
LAC 主系统,"系统, 主控, 控制, 设备, 模块",entity
FENGQUAN_1 电厂,"电厂, 电力设施, 发电厂, 能源站, 设备, 电站",entity
CT108,"测点, 设备, 监测点, 传感器, 数据点",entity
测点SGC.HEFEI_1.01LAC20BG112,"测点, 系统, 设备, 传感器, 位置",entity
02PAC01UC020XQ02,"测点, 设备, 编码, 代码, 位置",entity
JIANGYIN_2 电厂,"电厂, 电站, 发电厂, 能源设施, 电力系统",entity
10 区域,"区域, 分区, 空间, 领域, 区块",entity
55 区域,"区域, 地点, 位置, 空间, 部位",entity
25. CHUZHOU_1 电厂,"电厂, 机组, 能源设施, 发电厂, 电力系统",entity
101,"编号, 序列号, 设备标识, 代码, 识别码",entity
10MBH22AA102XC91,"编码, 代码, 标识, 代号, 码号",entity
112,"编号, 序列号, 设备号, 标识符, 代码",entity
测点SGC.CHUZHOU_1.10MBH22CP102XQ01,"测点, 位置, 数据点, 传感器, 标识符",entity
AP,"设备, 仪器, 传感器, 监测装置, 机械, 装置",entity
22 区域,"区域, 空间, 地点, 编号, 部署区",entity
循环水泵2变频器柜电机电压,"设备, 电气元件, 控制装置, 电压测量, 电机控制, 变频器, 水泵系统",entity
DT,"设备, 类型, 仪器, 机器, 系统",entity
Output Value,"输出值, 数值, 信号, 数据, 指标, 参数",entity
011,"序列号, 设备标识, 编码, 识别码",entity
68. GANLU_1 电厂,"电厂, 电站, 电力设施, 能源设施, 发电厂",entity
CJA 主系统,"系统, 主机, 控制, 模块, 机组",entity
SIHUI_2 电厂,"电厂, 设施, 电力站, 能源中心, 发电站",entity
27. ZHOUKOU_2 电厂,"电厂, 发电厂, 能源设施, 电力设施",entity
10MAD13CT014A232203OUT,"测点, 编码, 标识, 设备号, 代码",entity
10MBY10DU061XQ01,"编码, 代码, 标识, 代码标识, 系统编号",entity
50 区域,"区域, 地点, 测点, 空间, 编码, 范围",entity
A232203OUT,"测点, 代码, 标识, 数据, 信号",entity
MAV 主系统,"系统, 主机, 控制器, 设备, 模块, 平台",entity
null,"测点, 设备, 传感器, 监测点, 数据采集点",entity
DANYANG_2 电厂,"电厂, 发电厂, 电力设施, 能源站, 设备, 电站",entity
108,"数字, 编号, 序列号, 代码, 标识",entity
设备 UC020,"设备, 仪器, 监测点, 传感器, 机械, 系统",entity
113,"数字, 编号, 序列号, 设备标识",entity
DANYANG_2.21MBV30CP901XG02,"设备, 系统, 模块, 组件, 产品",entity
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,"测点, 设备, 监测点, 传感器, 位置, 数据点",entity
20MKY01EZ245XB01,"编码, 代码, 标识, 系统码, 项目号",entity
10HAD55AA101XQ11XQ12,"测点, 编码, 标识, 代码, 系统, 设备",entity
01 号机组,"机组, 系统, 设备, 控制单元, 机器",entity
GANLU_1 电厂,"电厂, 设施, 电力站, 能源设施, 发电厂, 电站",entity
ZV60,"设备, 仪器, 测点, 传感器, 系统, 代码",entity
测点SGC.YIXING_1.10MAV21AP022YB02,"测点, 标识, 代码, 数据点, 监测点, 传感器",entity
设备 DT100,"设备, 仪器, 系统, 机器, 装置, 产品",entity
02 号机组,"机组, 系统, 配置, 设备, 控制单元",entity
061,"编号, 序列号, 设备号, 标识符, 代码",entity
用于监测的设备类型为,"监测设备, 检测装置, 监控工具, 传感装置, 测量仪器",relation
的核心KKS码为,"核心标识, 核心编码, 核心代码",relation
用于监测的设备序列号为,"监测设备编号, 监测序列号, 设备识别码, 监测标识",relation
设备类型是,"设备类别, 类型归属, 设备分类, 属于类型",relation
无效代码标识为,"标记为无效, 识别为错误, 标注为不可用, 标示为无用",relation
包含,"包含, 包括, 容纳, 包含在内, 涵盖",relation
核心 KKS 码为,"关联, 对应, 关联码, 核心编码",relation
配置,"设置, 安排, 配备, 调配, 布置",relation
划分有,"划分, 分割, 分类, 区分, 划分出",relation
测量值单位为,"单位, 量纲, 标度, 单位制, 度量单位",relation
位于,"在...之中, 处于, 位于某处, 置于, 定位",relation
功能描述为,"实现功能, 执行作用, 承担职责, 具备能力",relation
用于监测的设备类型是,"监测设备, 监测工具, 检测装置, 监控仪器, 测量设备",relation
设备序列号是,"序列标识, 设备编号, 唯一识别码, 识别标签",relation
用于监测,"监测用途, 监控功能, 用于检测, 侦测工具",relation
划分,"分割, 划分界限, 分类, 区分, 划分区域",relation
用于监测设备,"监测工具, 监控装置, 检测设备, 传感组件",relation
部署,"设置, 安排, 布置, 部署到位",relation
