:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
CHANGXING_1 电厂,10 号机组,包含,"['包括', '包含在内', '包含', '涵盖', '容纳']",[],0,Relation
10 号机组,HAD 主系统,配置,"['调配', '设置', '配备', '安排', '布置']",[],1,Relation
HAD 主系统,55 区域,划分有,"['分类', '划分出', '划分', '区分', '分割']",[],2,Relation
55 区域,设备 AA101,部署,"['部署到位', '设置', '安排', '布置']",[],3,Relation
设备 AA101,AA,设备类型是,"['设备类别', '属于类型', '类型归属', '设备分类']",[],4,Relation
设备 AA101,101,设备序列号是,"['唯一识别码', '识别标签', '设备编号', '序列标识']",[],5,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,10HAD55AA101XQ11XQ12,的核心KKS码为,"['核心标识', '核心代码', '核心编码']",[],6,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,XQ11XQ12,无效代码标识为,"['标示为无用', '标注为不可用', '标记为无效', '识别为错误']",[],7,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,中压汽包连排电动调节阀,功能描述为,"['实现功能', '承担职责', '执行作用', '具备能力']",[],8,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,%,测量值单位为,"['量纲', '单位', '单位制', '度量单位', '标度']",[],9,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,设备 AA101,用于监测,"['用于检测', '侦测工具', '监控功能', '监测用途']",[],10,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,AA,用于监测的设备类型为,"['检测装置', '监测设备', '测量仪器', '监控工具', '传感装置']",[],11,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,101,用于监测的设备序列号为,"['监测设备编号', '设备识别码', '监测序列号', '监测标识']",[],12,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,CHANGXING_1 电厂,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],13,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,10 号机组,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],14,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,55 区域,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],15,Relation
测点SGC.CHANGXING_1.10HAD55AA101XQ11XQ12,HAD 主系统,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],16,Relation
10 号机组,MAD 主系统,配置,"['调配', '设置', '配备', '安排', '布置']",[],17,Relation
MAD 主系统,13 区域,划分有,"['分类', '划分出', '划分', '区分', '分割']",[],18,Relation
13 区域,设备 CT014,部署,"['部署到位', '设置', '安排', '布置']",[],19,Relation
设备 CT014,CT,设备类型是,"['设备类别', '属于类型', '类型归属', '设备分类']",[],20,Relation
设备 CT014,014,设备序列号是,"['唯一识别码', '识别标签', '设备编号', '序列标识']",[],21,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,10MAD13CT014A232203OUT,的核心KKS码为,"['核心标识', '核心代码', '核心编码']",[],22,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,A232203OUT,无效代码标识为,"['标示为无用', '标注为不可用', '标记为无效', '识别为错误']",[],23,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,Output Value,功能描述为,"['实现功能', '承担职责', '执行作用', '具备能力']",[],24,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,null,测量值单位为,"['量纲', '单位', '单位制', '度量单位', '标度']",[],25,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,设备 CT014,用于监测,"['用于检测', '侦测工具', '监控功能', '监测用途']",[],26,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CT,用于监测的设备类型为,"['检测装置', '监测设备', '测量仪器', '监控工具', '传感装置']",[],27,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,014,用于监测的设备序列号为,"['监测设备编号', '设备识别码', '监测序列号', '监测标识']",[],28,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,CHANGXING_1 电厂,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],29,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,10 号机组,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],30,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,13 区域,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],31,Relation
测点SGC.CHANGXING_1.10MAD13CT014A232203OUT,MAD 主系统,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],32,Relation
HEFEI_1 电厂,01 号机组,包含,"['包括', '包含在内', '包含', '涵盖', '容纳']",[],33,Relation
01 号机组,LAC 主系统,配置,"['调配', '设置', '配备', '安排', '布置']",[],34,Relation
LAC 主系统,20 区域,划分有,"['分类', '划分出', '划分', '区分', '分割']",[],35,Relation
20 区域,设备 BG112,部署,"['部署到位', '设置', '安排', '布置']",[],36,Relation
设备 BG112,BG,设备类型是,"['设备类别', '属于类型', '类型归属', '设备分类']",[],37,Relation
设备 BG112,112,设备序列号是,"['唯一识别码', '识别标签', '设备编号', '序列标识']",[],38,Relation
测点SGC.HEFEI_1.01LAC20BG112,01LAC20BG112,的核心KKS码为,"['核心标识', '核心代码', '核心编码']",[],39,Relation
测点SGC.HEFEI_1.01LAC20BG112,null,无效代码标识为,"['标示为无用', '标注为不可用', '标记为无效', '识别为错误']",[],40,Relation
测点SGC.HEFEI_1.01LAC20BG112,中压给水泵A驱动端径向轴承座Y向振动,功能描述为,"['实现功能', '承担职责', '执行作用', '具备能力']",[],41,Relation
测点SGC.HEFEI_1.01LAC20BG112,null,测量值单位为,"['量纲', '单位', '单位制', '度量单位', '标度']",[],42,Relation
测点SGC.HEFEI_1.01LAC20BG112,设备 BG112,用于监测,"['用于检测', '侦测工具', '监控功能', '监测用途']",[],43,Relation
测点SGC.HEFEI_1.01LAC20BG112,BG,用于监测的设备类型为,"['检测装置', '监测设备', '测量仪器', '监控工具', '传感装置']",[],44,Relation
测点SGC.HEFEI_1.01LAC20BG112,112,用于监测的设备序列号为,"['监测设备编号', '设备识别码', '监测序列号', '监测标识']",[],45,Relation
测点SGC.HEFEI_1.01LAC20BG112,HEFEI_1 电厂,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],46,Relation
测点SGC.HEFEI_1.01LAC20BG112,01 号机组,位于,"['处于', '位于某处', '在...之中', '定位', '置于']",[],47,Relation
